id,lon_start,lat_start,lon_end,lat_end,frequency
2206,10.843362,52.425511,10.843183,52.426287,0.799966
2207,10.843183,52.426287,10.843005,52.427064,0.807802
2208,10.836749,52.417067,10.838417,52.417089,0.817009
2209,10.815837,52.425303,10.816455,52.424156,0.333213
2210,10.816455,52.424156,10.817073,52.423009,0.441615
2211,10.840492,52.425127,10.840459,52.425357,0.910248
2212,10.840459,52.425357,10.840893,52.425832,0.886494
2213,10.813945,52.420732,10.813638,52.421258,0.674351
2214,10.813638,52.421258,10.815413,52.421289,0.45768
2215,10.815413,52.421289,10.817188,52.421319,0.261549
2216,10.817188,52.421319,10.818963,52.42135,0.330154
2217,10.791563,52.412391,10.790544,52.412491,0.7674
2218,10.847663,52.425359,10.847497,52.424761,1.104975
2219,10.84592,52.415802,10.847239,52.415428,0.958107
2220,10.847239,52.415428,10.848557,52.415054,0.776514
2221,10.848557,52.415054,10.849176,52.414577,0.634306
2222,10.849176,52.414577,10.848868,52.413839,0.506176
2223,10.848868,52.413839,10.849025,52.412844,0.493122
2224,10.849025,52.412844,10.848657,52.412044,0.613217
2225,10.848657,52.412044,10.847998,52.412227,1.136207
2226,10.818878,52.422358,10.820417,52.421672,0.65386
2227,10.795222,52.422081,10.79381,52.422236,0.743262
2228,10.835659,52.415966,10.836749,52.417067,0.914853
2229,10.836749,52.417067,10.836032,52.417613,1.00741
2230,10.836032,52.417613,10.835954,52.418202,1.016553
2231,10.835954,52.418202,10.834144,52.41816,1.139854
2232,10.782818,52.403114,10.783878,52.403378,0.661948
2233,10.783878,52.403378,10.786074,52.403479,0.59999
2234,10.779496,52.402732,10.780008,52.402849,0.919288
2235,10.780008,52.402849,10.779603,52.4035,0.519209
2236,10.779603,52.4035,10.779264,52.403655,0.808708
2237,10.815332,52.425433,10.815837,52.425303,0.749728
2238,10.815837,52.425303,10.816254,52.425605,0.515937
2239,10.816254,52.425605,10.816845,52.424683,0.181659
2240,10.816845,52.424683,10.817437,52.423761,0.15088
2241,10.817437,52.423761,10.818028,52.422839,0.434492
2242,10.818028,52.422839,10.817073,52.423009,0.871172
2243,10.817073,52.423009,10.816537,52.422712,1.024331
2244,10.769566,52.411143,10.770803,52.410963,0.805889
2245,10.770803,52.410963,10.770559,52.411698,0.659636
2246,10.768372,52.406956,10.768642,52.406197,0.30103
2247,10.793328,52.419143,10.792018,52.419386,0.98736
2248,10.792018,52.419386,10.7906,52.419947,1.079019
2249,10.7906,52.419947,10.788813,52.420405,0.80818
2250,10.771409,52.425654,10.771326,52.425713,1.327021
2251,10.771326,52.425713,10.771895,52.425952,0.911768
2252,10.771895,52.425952,10.772503,52.425848,0.769147
2253,10.772503,52.425848,10.77332,52.425343,0.607074
2254,10.77332,52.425343,10.77466,52.424932,0.45926
2255,10.77466,52.424932,10.775187,52.425687,0.523628
2256,10.775187,52.425687,10.775406,52.426417,0.701583
2257,10.775406,52.426417,10.775625,52.427146,0.796733
2258,10.775625,52.427146,10.77379,52.426989,0.634
2259,10.77379,52.426989,10.771956,52.426831,0.331837
